index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1,횡성문화예술회관,1148,,37.4892291,127.975833,14527,14707,2587,3729,3883,4214,6616,10231,12681,6434,3567,348,5,2,0,1,1,4
2,화천문화예술회관,670.6,,38.1087009,127.7048176,5852,6196,1578,1672,1911,1974,2777,3326,3587,2329,1340,83,5,2,2,1,2,7
3,화순 하니움 문화스포츠센터,17124,371,35.0501633,126.9685787,38862,35935,9884,13081,16203,14967,21189,24576,22151,14775,9897,1203,11,2,4,1,2,9
4,화성어린이복합문화센터,12885,,37.2123704,126.9607148,424169,434404,145230,173700,247775,279848,310913,286208,200061,79594,27541,1312,17,13,6,3,5,27
5,홍천문화예술회관,694,,37.6846629,127.8753818,18210,18114,4857,6738,6704,7276,10717,12892,12157,6016,3297,171,6,2,1,2,1,6
6,홍천문화센터(홍천문화원),2400,,37.6825302,127.8774469,18210,18114,4857,6738,6704,7276,10717,12892,12157,6016,3297,171,4,2,1,2,1,6
7,홍주문화회관,3066,4992,36.5944058,126.6517613,43249,42039,10527,15449,15791,15893,21994,25083,26348,16477,11281,1022,9,2,7,2,1,12
8,홍성문화원,425.28,,36.5924367,126.6744165,42438,41413,10857,15637,15676,16127,22237,24386,25668,15820,10665,955,3,2,5,2,1,10
9,호암예술관,889,2604,36.9625701,127.9264046,81603,82215,19193,30816,39468,34219,47581,56899,51784,25225,13689,820,7,4,5,2,2,13
10,해운대문화회관,1492,16413,35.1711625,129.17398,525309,479237,112455,155083,226133,231729,299840,336519,338276,190823,72816,3698,38,17,4,3,6,30
11,해남문화예술회관,3620,2598,34.5733194,126.5996445,15387,14873,2200,3801,3263,3295,6006,9633,12050,9113,6021,557,4,2,3,1,2,8
12,합천군문화예술회관,485,,35.5646051,128.1701754,9104,8627,815,2130,2956,1749,3150,6278,7956,5607,4390,561,2,1,1,1,1,4
13,함양문화예술회관,5428,6025,35.5239885,127.72336,12369,11704,1405,2473,2237,2459,4752,9261,11596,7588,5523,590,0,1,1,1,1,4
14,함안문화원,902,,35.2838983,128.4014548,16105,16361,2875,4893,3671,4267,7961,11575,13511,7877,5218,638,2,1,1,2,2,6
15,함안문화예술회관,4641.06,18189,35.2832,128.401468,16105,16361,2875,4893,3671,4267,7961,11575,13511,7877,5218,638,2,1,1,2,2,6
16,한중문화관,640,499,37.4739009,126.6167684,672965,669306,186866,233568,323789,372606,438542,454664,387126,174396,66531,3711,16,22,18,12,12,64
17,한전아트센터,6145.27,79381,37.4856988,127.0279981,1412265,1305561,299332,422678,826211,864651,849592,828354,691543,377841,125184,3899,19,50,51,20,5,126
18,한국효문화진흥원,,,36.2860361,127.3838096,512285,496217,130848,191410,286503,251364,308574,322351,276926,136930,57604,3757,5,12,8,9,5,34
19,한국콘텐츠진흥원 CKL스테이지,,6039,37.5704461,127.0087332,2011404,1837348,406168,558873,1177507,1151214,1168688,1236501,1060211,592394,236175,6411,29,83,134,37,16,270
