index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1,국립중앙도서관,127056,420846,37.4973927,127.0033891,117096,104688,31302,49740,50082,57544,81979,71949,49681,28725,8460,194,8,4,0,0,0,4
2,국회도서관,37463,304851,37.5310582,126.9153816,70048,65575,13858,12670,48603,57318,36979,35474,31039,16472,6745,230,12,3,2,1,1,7
3,국립장애인도서관,982,1524,37.4973927,127.0033891,117096,104688,31302,49740,50082,57544,81979,71949,49681,28725,8460,194,8,4,0,0,0,4
4,법원도서관,4690,58984,37.651891,126.772738,59838,54230,11798,20950,30727,30385,37554,47206,31005,12333,7183,381,8,3,1,1,2,7
5,서울특별시교육청강남도서관,1631,309691,37.5137491,127.0470947,92161,81855,16914,33080,47644,60134,67738,54077,34470,21674,5787,109,5,5,9,2,0,16
6,서울특별시교육청개포도서관,2377,551754,37.4830336,127.063861,93907,88663,22483,49362,35168,38447,65939,62761,45603,24136,4966,119,10,4,1,1,0,6
7,서울특별시교육청강동도서관,3102,531698,37.538569,127.1437597,146828,138338,30276,37994,74024,88748,86146,90616,89310,45185,12550,584,21,6,0,0,2,8
8,서울특별시교육청고덕평생학습관,3854,945361,37.5560674,127.158053,98998,94531,34390,42250,38130,51285,69800,59752,55185,24603,5888,373,11,2,1,1,0,4
9,서울특별시교육청강서도서관,4014,520758,37.5478657,126.8600392,187434,170648,37085,53279,96569,116137,107696,106403,96011,47082,14255,898,5,5,1,0,1,7
10,서울특별시교육청고척도서관,5438,704676,37.5059325,126.8520068,148910,139750,35582,50074,66892,77704,90894,96725,88177,48024,15566,626,14,6,1,2,1,10
11,서울특별시교육청구로도서관,2538,473286,37.498502,126.8917141,146924,140238,32123,35989,76342,89970,86362,93068,84800,46655,16582,432,20,7,0,3,1,11
12,서울특별시교육청노원평생학습관,4223,933709,37.639316,127.067753,137210,123551,27436,55126,65714,60430,85139,90610,72701,37161,15281,661,41,4,3,2,1,10
13,서울특별시교육청도봉도서관,2743,488008,37.6586733,127.0391808,155834,141934,29949,44616,70498,76117,84936,102170,93423,47745,20097,728,15,7,1,3,1,12
14,서울특별시교육청동대문도서관,4352,313961,37.5734709,127.0247833,143941,134124,24629,30261,100733,86156,72282,85660,74067,41223,17745,514,42,8,3,3,1,15
15,서울특별시교육청동작도서관,1974,565412,37.5059274,126.9401698,150066,140409,27966,38324,98035,86528,80506,83897,74227,43283,16805,402,30,5,2,0,1,8
16,서울특별시교육청마포평생학습관,9716,808072,37.5542685,126.9242273,108188,95309,16539,23121,90110,71763,57109,54094,42677,24689,10548,170,30,2,6,1,0,9
17,서울특별시교육청마포평생학습관 아현분관,1808,302929,37.55384,126.9572216,146347,125277,32230,35968,96016,91344,79722,81755,63643,32806,14444,304,27,7,14,3,1,25
18,서울특별시교육청서대문도서관,3910,859640,37.583403,126.9410335,92784,83102,19239,25457,50013,48171,50485,56467,48300,27864,13503,343,10,3,3,1,1,8
19,서울특별시교육청송파도서관,8260,1584328,37.5020129,127.1321882,125552,118318,29778,39884,63344,75374,75264,84161,76295,35092,9679,415,16,2,1,0,0,3
20,서울특별시교육청양천도서관,6864,1133128,37.5336117,126.8762068,153127,142704,35952,60433,75770,90719,101969,95443,73509,34855,10083,407,10,6,0,2,0,8
21,서울특별시교육청영등포평생학습관,6805,573597,37.5261011,126.9074464,92001,87114,19727,17956,59184,74206,50548,48557,42627,23739,9546,380,25,4,1,2,1,8
22,서울특별시교육청남산도서관,9410,593598,37.552925,126.981414,60683,54511,9496,12016,37850,41499,32296,35546,31656,17087,7448,204,7,6,22,6,1,35
23,서울특별시교육청용산도서관,6946,523756,37.5519102,126.9801391,66662,59452,11368,13399,42340,48625,36061,39160,34331,18378,7955,204,10,6,20,5,1,32
24,서울특별시교육청정독도서관,13282,1055513,37.5807856,126.9831611,33534,30938,4296,10779,24704,17775,17623,18945,16302,10045,4902,132,20,5,41,3,4,53
25,서울특별시교육청종로도서관,3543,732123,37.57645,126.966387,56548,49191,10717,16046,27257,29714,31479,34209,28419,16158,8039,279,14,7,38,4,3,52
26,서울특별시교육청어린이도서관,3797,1201088,37.576478,126.967887,53093,46423,10503,16439,26027,28960,30976,33420,27822,15804,7823,279,18,7,43,4,3,57
27,명성교회도서관,2042,38260,37.5469091,127.1462725,153669,145914,39899,48251,70801,91052,98037,93245,90233,44081,11235,582,23,6,0,0,2,8
28,가락몰도서관,806,48508,37.4934824,127.1115038,132889,120230,28747,32678,66046,91488,74087,73723,71617,34153,8545,407,6,2,2,0,0,4
29,지샘터 올림픽공원도서관,278,39505,37.5206868,127.1214941,124867,113391,27362,36498,65021,74505,73794,75237,71291,34717,8944,266,0,2,4,2,0,8
30,4.19 혁명기념 도서관,7301,8190,37.5675067,126.9677205,85035,71921,16460,19314,38175,43872,42409,46045,37669,20111,9440,276,41,9,34,6,3,52
31,한국학생도서관,595,156,37.5607021,127.0021716,73599,68598,14376,13814,42855,49885,41331,48125,45169,24856,10790,380,19,7,8,8,1,24
32,논현도서관,574,147179,37.5172158,127.0371731,91425,80512,16971,26007,46387,60424,61581,52083,37780,24675,7510,181,15,4,7,1,0,12
33,대치도서관,570,249157,37.4954085,127.0626829,115619,107029,27282,63974,48476,52693,87839,79306,53137,29451,6542,176,24,6,3,2,0,11
34,역삼도서관,396,195947,37.4952945,127.0332162,130973,118273,27911,48291,66292,83518,93788,74854,50286,29250,7607,265,6,5,1,4,2,12
35,청담도서관,348,57856,37.5250412,127.0492971,70839,64720,15067,21092,34716,43839,46332,45782,35632,20841,7050,216,6,4,8,1,0,13
36,정다운도서관,332,163428,37.5190507,127.0464302,73386,64594,13992,21803,37206,48417,50122,43121,30515,19156,5695,150,9,4,8,1,0,13
37,즐거운도서관,327,74848,37.4997536,127.0578905,124131,113675,24984,61371,51756,57773,89353,78126,50505,28838,6936,170,14,5,3,3,0,11
38,행복한도서관,482,139422,37.5022565,127.0641674,113595,104655,26882,63487,51031,56324,91532,78316,50050,28476,6418,129,10,5,3,2,1,11
39,강남구립못골도서관,1057,198987,37.4715425,127.096525,36073,32645,9189,14102,12465,16842,22733,19259,17877,9163,3294,447,3,2,1,0,0,3
40,강남구립열린도서관,436,176894,37.4890175,127.0824833,85101,78783,17622,33186,35799,44005,52889,50830,45647,23764,5187,241,20,3,2,0,0,5
41,도곡정보문화도서관,2930,592515,37.4882371,127.0392707,117397,107333,26582,50121,55502,68366,85647,71499,49450,27240,6754,230,17,6,1,3,2,12
42,일원라온영어도서관,733,103409,37.4915879,127.0764789,99393,93774,20842,45831,42240,48423,66522,63018,50330,25892,5627,250,32,6,2,1,0,9
43,강남구립 역삼푸른솔 도서관,368,134086,37.4963764,127.0320237,134055,121205,27745,46336,65868,83829,92518,72687,48412,28050,7058,262,29,5,1,4,2,12
44,못골한옥어린이도서관,373,130686,37.4730792,127.0994354,37019,33150,10961,15577,16510,23363,27551,23842,22898,12354,4437,503,6,2,1,0,0,3
45,강동구립강일도서관,1248,345102,37.5650525,127.1739113,105603,100739,43807,43019,42425,66088,81189,57278,49909,21839,5954,559,29,3,0,1,0,4
46,강동구립둔촌도서관,997,85205,37.5315801,127.1483305,97195,91571,18853,26302,50948,57186,56486,60421,59887,29828,7835,325,11,5,0,0,1,6
47,강동구립성내도서관,1415,352755,37.5328621,127.1333521,142429,133643,26239,34943,74939,86393,80876,87776,87554,44762,12708,520,26,6,0,2,1,9
48,강동구립암사도서관,1759,575973,37.5528442,127.1333484,124525,117727,29310,36946,60098,74767,78369,76761,74885,37591,10252,398,4,5,1,0,2,8
49,강동구립천호도서관,929,258290,37.5405812,127.1340989,168851,158281,35834,42705,84577,103601,99327,104521,103107,52611,15089,619,15,7,0,1,2,10
50,강동구립해공도서관,1767,312504,37.5439013,127.1255669,148722,138730,28423,34335,75280,90863,84201,90757,89088,46740,13963,712,14,5,1,1,2,9
51,강북문화정보도서관,5574,105177,37.6251398,127.0360733,156495,145782,29521,41677,76843,76457,90099,102260,94932,56757,21854,527,27,6,2,1,0,9
52,미아문화정보도서관,751,43872,37.6270621,127.0269669,161812,149949,28353,43889,79399,76784,93322,106971,97181,59697,23196,474,28,8,2,1,0,11
53,솔샘문화정보도서관,944,45769,37.6204314,127.0123883,133691,122801,27014,41794,65835,62500,78880,84565,73295,43622,17372,402,21,9,2,0,0,11
54,송중문화정보도서관,511,19917,37.61832,127.0299758,183295,167454,40341,57489,86422,87898,110696,117241,101030,60256,23336,468,20,11,3,1,0,15
55,수유문화정보도서관,951,36186,37.6300774,127.0176093,136811,126900,20864,34562,69569,64651,75944,90327,84500,52042,20743,382,19,6,2,1,1,10
56,강북청소년문화정보도서관,1777,42965,37.6230299,127.0215671,154318,142185,30563,46967,75461,73362,93002,100708,88461,53885,20729,411,22,9,2,0,0,11
57,삼각산어린이도서관,996,50233,37.6151806,127.0206974,173339,158317,37692,56848,83775,82666,105138,111594,94575,55149,21674,444,11,13,1,1,0,15
58,강서영어도서관,541,71316,37.5345612,126.8607912,199940,185906,38848,65457,102140,112264,122675,119757,102266,51328,14110,696,18,7,0,2,0,9
59,강서구립가양도서관,2279,222635,37.5594426,126.8653228,103104,92462,21100,23422,50269,69121,54461,55941,56618,26606,9520,736,14,3,2,0,0,5
60,강서구립 등빛도서관,2281,236439,37.5624258,126.842382,120621,105535,24925,33849,61824,75512,67783,66123,64522,31808,10486,670,15,2,3,1,1,7
61,강서구립 곰달래도서관,1747,207494,37.5289008,126.8488134,194030,181822,39568,59409,102713,113586,120413,121404,109880,57501,16119,599,17,5,0,0,1,6
62,강서구립우장산숲속도서관,602,100893,37.5482678,126.8418504,172565,155942,32549,46694,92887,106926,98880,96692,90612,46701,14025,931,7,4,1,1,1,7
63,강서구립 푸른들청소년도서관,708,145234,37.5446703,126.8351964,151213,139648,29143,43408,82123,89881,89776,87977,81394,42704,11862,533,13,3,0,1,1,5
64,강서길꽃어린이도서관,578,112535,37.5787056,126.813676,49093,45587,13373,14543,25715,34225,31651,28905,29846,15227,5476,272,19,1,0,0,0,1
65,강서꿈꾸는어린이도서관,855,120270,37.5473594,126.8733386,119416,110373,26537,42603,60030,74074,75255,72917,59691,27377,8147,486,19,7,0,1,0,8
66,조원도서관,753,26613,37.4825591,126.9077925,155888,154376,21040,31087,120008,108395,82624,93813,86974,50506,16972,433,17,2,2,1,1,6
