size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
327,16678,13096.0,12469.0,2987.0,5157.0,5746.0,4966.0,8109.0,9451.0,7558.0,4159.0,2159.0,122.0,9.0,1.0,1.0,0.0,1.0,3.0
692.5,50,4061.0,3806.0,1224.0,1583.0,1748.0,1917.0,2623.0,3133.0,3073.0,1686.0,916.0,183.0,10.0,1.0,0.0,0.0,1.0,2.0
"2,157","300,000",11644.0,11057.0,2005.0,4759.0,9232.0,4317.0,6374.0,6633.0,6558.0,4023.0,2338.0,299.0,9.0,0.0,0.0,0.0,1.0,1.0
672,"9,500",1364.0,1554.0,368.0,210.0,402.0,561.0,400.0,749.0,1333.0,703.0,353.0,45.0,9.0,1.0,0.0,1.0,2.0,4.0
"1,666","45,000",8644.0,8420.0,2094.0,2645.0,2916.0,3203.0,4805.0,5381.0,5420.0,2464.0,1155.0,79.0,5.0,0.0,0.0,1.0,2.0,3.0
980,"114,000",4340.0,4202.0,265.0,565.0,1058.0,942.0,1823.0,2855.0,3901.0,2625.0,1754.0,259.0,12.0,1.0,1.0,1.0,1.0,4.0
185,"34,000",3451.0,3501.0,377.0,633.0,848.0,977.0,1681.0,2686.0,3633.0,2330.0,1183.0,49.0,13.0,1.0,0.0,1.0,1.0,3.0
103,"18,500",2198.0,2179.0,642.0,507.0,797.0,848.0,897.0,1356.0,1467.0,688.0,472.0,42.0,5.0,1.0,0.0,2.0,1.0,4.0
"1,454","17,297",4106.0,4210.0,745.0,884.0,1262.0,1477.0,2181.0,2921.0,3340.0,1937.0,1125.0,57.0,7.0,1.0,0.0,0.0,1.0,2.0
273,"19,350",3509.0,3641.0,280.0,620.0,697.0,807.0,1252.0,2871.0,4698.0,2596.0,1538.0,81.0,14.0,0.0,2.0,1.0,1.0,4.0
"4,296","128,869",16303.0,15181.0,2886.0,5502.0,7492.0,6434.0,9092.0,11923.0,11195.0,4665.0,2774.0,199.0,12.0,0.0,0.0,1.0,1.0,2.0
"2,943","17,500",2320.0,2444.0,300.0,310.0,941.0,612.0,711.0,1641.0,2064.0,1228.0,863.0,51.0,9.0,1.0,2.0,0.0,1.0,4.0
650,"9,000",2401.0,2357.0,504.0,692.0,768.0,883.0,1464.0,1870.0,2123.0,1367.0,755.0,48.0,8.0,1.0,0.0,0.0,1.0,2.0
783,"18,000",2664.0,2757.0,767.0,750.0,896.0,1241.0,1278.0,1903.0,2053.0,827.0,554.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0
"1,671","90,000",18284.0,16920.0,5460.0,9296.0,8136.0,8007.0,12792.0,12919.0,9827.0,4242.0,2170.0,124.0,15.0,0.0,0.0,0.0,1.0,1.0
"1,052","1,000",2618.0,2638.0,0.0,0.0,34.0,53.0,14.0,186.0,223.0,61.0,44.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0
,"10,000",1120.0,1104.0,67.0,101.0,153.0,154.0,340.0,813.0,1359.0,871.0,443.0,31.0,4.0,1.0,0.0,1.0,1.0,3.0
778,"5,000",5922.0,5741.0,2082.0,2222.0,2953.0,3037.0,3932.0,4319.0,3570.0,1629.0,691.0,34.0,4.0,1.0,1.0,2.0,1.0,5.0
"1,703","15,000",500.0,542.0,98.0,136.0,186.0,114.0,220.0,224.0,391.0,181.0,77.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
"2,253","10,000",3186.0,3202.0,314.0,779.0,814.0,804.0,1135.0,2144.0,2736.0,1454.0,838.0,58.0,2.0,2.0,0.0,1.0,1.0,4.0
4840.11,,888.0,1097.0,92.0,128.0,146.0,141.0,309.0,505.0,581.0,266.0,111.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0
,"3,018",184.0,246.0,30.0,58.0,23.0,75.0,137.0,172.0,143.0,81.0,28.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0
705.23,"4,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
,"2,000",2439.0,2447.0,596.0,777.0,755.0,904.0,1226.0,2043.0,2202.0,987.0,565.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0
875.6,660,244.0,242.0,220.0,238.0,134.0,204.0,270.0,180.0,147.0,54.0,13.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0
717.7,"20,000",10911.0,10693.0,2352.0,2879.0,3377.0,3637.0,5229.0,6352.0,5779.0,2733.0,1076.0,92.0,5.0,0.0,0.0,1.0,2.0,3.0
399.2,300,247.0,250.0,439.0,307.0,92.0,226.0,420.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0
208.24,300,348.0,340.0,60.0,86.0,41.0,79.0,197.0,137.0,154.0,48.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0
428.51,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0
223.7,"12,581",16158.0,16672.0,3423.0,8678.0,17204.0,8209.0,8956.0,10089.0,8676.0,4395.0,2381.0,43.0,14.0,1.0,0.0,2.0,1.0,4.0
977,"2,349",9552.0,9035.0,1845.0,3134.0,4633.0,4018.0,5510.0,6638.0,6740.0,3440.0,2057.0,173.0,8.0,0.0,0.0,0.0,1.0,1.0
512.45,450,280.0,304.0,17.0,146.0,36.0,31.0,110.0,211.0,290.0,198.0,147.0,15.0,6.0,0.0,0.0,0.0,1.0,1.0
527,"17,654",10196.0,9884.0,2641.0,3806.0,4409.0,4031.0,6168.0,6424.0,5790.0,3790.0,1678.0,158.0,13.0,0.0,1.0,3.0,1.0,5.0
757.2,"1,300",1591.0,1569.0,311.0,492.0,502.0,484.0,966.0,1246.0,1338.0,873.0,472.0,37.0,4.0,0.0,1.0,1.0,1.0,3.0
514.8,241,11908.0,11789.0,5287.0,5795.0,4359.0,7103.0,9722.0,7733.0,4696.0,1716.0,808.0,38.0,12.0,0.0,0.0,0.0,1.0,1.0
,500,179.0,232.0,15.0,39.0,42.0,61.0,94.0,214.0,456.0,252.0,223.0,36.0,8.0,0.0,0.0,0.0,1.0,1.0
1847.6,"5,189",627.0,618.0,163.0,262.0,276.0,347.0,333.0,502.0,662.0,322.0,244.0,42.0,1.0,0.0,0.0,1.0,1.0,2.0
"2,939","4,000",500.0,542.0,98.0,136.0,186.0,114.0,220.0,224.0,391.0,181.0,77.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
484,"1,300",3014.0,3019.0,453.0,687.0,1187.0,990.0,1292.0,2031.0,2544.0,1407.0,560.0,31.0,7.0,1.0,0.0,1.0,1.0,3.0
"2,314","3,600",27719.0,25049.0,5469.0,9836.0,12101.0,12275.0,16538.0,18219.0,11579.0,5050.0,3586.0,145.0,10.0,1.0,0.0,0.0,1.0,2.0
"4,293","50,000",18466.0,17461.0,7490.0,7904.0,8880.0,11906.0,12661.0,14177.0,11056.0,4512.0,2039.0,119.0,8.0,2.0,1.0,0.0,1.0,4.0
"2,339","71,386",40556.0,38305.0,11621.0,16422.0,16582.0,21125.0,28424.0,26648.0,20373.0,8544.0,3076.0,122.0,14.0,1.0,0.0,1.0,2.0,4.0
"1,562","5,000",14495.0,14781.0,4804.0,5601.0,7781.0,8688.0,10818.0,11261.0,9459.0,4055.0,1213.0,31.0,10.0,2.0,0.0,0.0,1.0,3.0
,"15,000",25800.0,24187.0,6930.0,9494.0,12474.0,13595.0,16817.0,19963.0,13947.0,5848.0,2384.0,70.0,17.0,0.0,0.0,1.0,1.0,2.0
"3,660","45,474",12281.0,12570.0,3910.0,5856.0,7542.0,7008.0,9545.0,9981.0,6393.0,2096.0,944.0,118.0,22.0,0.0,0.0,0.0,1.0,1.0
324,"8,000",8038.0,7683.0,3480.0,2593.0,2143.0,4462.0,5863.0,3624.0,2235.0,1157.0,333.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0
,"4,125",5209.0,5295.0,956.0,1520.0,2210.0,2462.0,2889.0,3708.0,3608.0,1546.0,758.0,16.0,9.0,0.0,0.0,0.0,1.0,1.0
160,"12,000",5779.0,5751.0,1294.0,2167.0,2620.0,2068.0,3191.0,3947.0,4347.0,2369.0,1264.0,37.0,11.0,1.0,0.0,1.0,1.0,3.0
"1,530","86,733",37143.0,35708.0,6304.0,9844.0,16108.0,17270.0,19526.0,23623.0,21937.0,9814.0,3617.0,171.0,19.0,1.0,0.0,1.0,1.0,3.0
"1,191","18,728",40588.0,42701.0,8340.0,11491.0,22224.0,24015.0,26210.0,28633.0,26343.0,13348.0,4443.0,39.0,20.0,2.0,0.0,0.0,2.0,4.0
"3,312","50,000",15466.0,16674.0,6545.0,5125.0,12675.0,16865.0,12743.0,13848.0,11554.0,5506.0,2023.0,60.0,4.0,1.0,1.0,1.0,2.0,5.0
519,"10,000",6769.0,7009.0,1217.0,2461.0,3383.0,2652.0,4220.0,5817.0,3498.0,1459.0,1052.0,97.0,9.0,0.0,0.0,0.0,1.0,1.0
"1,993","38,200",19556.0,21743.0,3669.0,6132.0,13126.0,11018.0,12054.0,15889.0,9506.0,3643.0,2333.0,297.0,12.0,0.0,1.0,0.0,1.0,2.0
531,"1,800",2040.0,1918.0,218.0,534.0,600.0,596.0,794.0,1310.0,1589.0,786.0,533.0,43.0,10.0,1.0,0.0,0.0,1.0,2.0
"2,681","14,000",29949.0,29767.0,5076.0,6154.0,12423.0,14690.0,13442.0,15709.0,14655.0,6910.0,3137.0,234.0,20.0,1.0,0.0,1.0,1.0,3.0
770,"1,412",3160.0,3574.0,710.0,1008.0,1431.0,1432.0,1561.0,2313.0,2359.0,1106.0,541.0,42.0,20.0,1.0,0.0,0.0,1.0,2.0
"1,687","3,000",4591.0,4339.0,1189.0,1794.0,1813.0,1955.0,2593.0,3241.0,3003.0,1434.0,704.0,38.0,8.0,0.0,1.0,0.0,1.0,2.0
331,300,2072.0,2004.0,737.0,1392.0,932.0,1031.0,1843.0,1759.0,998.0,309.0,145.0,0.0,12.0,1.0,2.0,0.0,1.0,4.0
529,180,923.0,969.0,475.0,406.0,401.0,569.0,772.0,511.0,492.0,252.0,179.0,0.0,13.0,1.0,0.0,1.0,1.0,3.0
180,"8,000",15480.0,16701.0,5829.0,7546.0,10082.0,11861.0,13930.0,12113.0,7863.0,3394.0,1347.0,87.0,23.0,1.0,0.0,0.0,1.0,2.0
,"30,000",5855.0,5596.0,2819.0,2528.0,4057.0,3764.0,3954.0,3220.0,2095.0,803.0,184.0,0.0,19.0,0.0,0.0,1.0,1.0,2.0
"1,651","10,000",9187.0,9070.0,2213.0,3497.0,3992.0,4596.0,5801.0,6702.0,6430.0,2651.0,1142.0,84.0,11.0,0.0,0.0,1.0,2.0,3.0
"2,036","42,160",14807.0,13858.0,3916.0,5540.0,7169.0,6505.0,9036.0,11626.0,8076.0,3537.0,1495.0,58.0,10.0,0.0,0.0,0.0,1.0,1.0
809,"21,792",11810.0,12257.0,2048.0,3014.0,6345.0,6223.0,5764.0,7201.0,7775.0,3572.0,1624.0,75.0,18.0,1.0,0.0,0.0,1.0,2.0
