index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1,1148,,14527,14707,2587,3729,3883,4214,6616,10231,12681,6434,3567,348,5,2,0,1,1,4
2,670.6,,5852,6196,1578,1672,1911,1974,2777,3326,3587,2329,1340,83,5,2,2,1,2,7
3,17124,371,38862,35935,9884,13081,16203,14967,21189,24576,22151,14775,9897,1203,11,2,4,1,2,9
4,12885,,424169,434404,145230,173700,247775,279848,310913,286208,200061,79594,27541,1312,17,13,6,3,5,27
5,694,,18210,18114,4857,6738,6704,7276,10717,12892,12157,6016,3297,171,6,2,1,2,1,6
6,2400,,18210,18114,4857,6738,6704,7276,10717,12892,12157,6016,3297,171,4,2,1,2,1,6
7,3066,4992,43249,42039,10527,15449,15791,15893,21994,25083,26348,16477,11281,1022,9,2,7,2,1,12
8,425.28,,42438,41413,10857,15637,15676,16127,22237,24386,25668,15820,10665,955,3,2,5,2,1,10
9,889,2604,81603,82215,19193,30816,39468,34219,47581,56899,51784,25225,13689,820,7,4,5,2,2,13
10,1492,16413,525309,479237,112455,155083,226133,231729,299840,336519,338276,190823,72816,3698,38,17,4,3,6,30
11,3620,2598,15387,14873,2200,3801,3263,3295,6006,9633,12050,9113,6021,557,4,2,3,1,2,8
12,485,,9104,8627,815,2130,2956,1749,3150,6278,7956,5607,4390,561,2,1,1,1,1,4
13,5428,6025,12369,11704,1405,2473,2237,2459,4752,9261,11596,7588,5523,590,0,1,1,1,1,4
14,902,,16105,16361,2875,4893,3671,4267,7961,11575,13511,7877,5218,638,2,1,1,2,2,6
15,4641.06,18189,16105,16361,2875,4893,3671,4267,7961,11575,13511,7877,5218,638,2,1,1,2,2,6
16,640,499,672965,669306,186866,233568,323789,372606,438542,454664,387126,174396,66531,3711,16,22,18,12,12,64
17,6145.27,79381,1412265,1305561,299332,422678,826211,864651,849592,828354,691543,377841,125184,3899,19,50,51,20,5,126
18,,,512285,496217,130848,191410,286503,251364,308574,322351,276926,136930,57604,3757,5,12,8,9,5,34
19,,6039,2011404,1837348,406168,558873,1177507,1151214,1168688,1236501,1060211,592394,236175,6411,29,83,134,37,16,270
20,3987,,332027,318464,86964,133910,174078,150639,199740,214198,170934,91069,42739,3379,17,13,17,8,6,44
21,,,2078920,1893267,418371,568703,1227629,1214625,1203353,1252124,1065010,602611,239178,6290,24,82,135,34,16,267
22,19001,,1330246,1233397,281506,404493,765297,806476,808001,792016,665886,371934,125341,3882,10,49,40,19,7,115
23,10585,,1746702,1617048,356379,502573,977025,945980,1002604,1115609,984798,530719,210661,7085,0,76,78,28,17,199
24,27183,892,31288,35245,11632,14088,15257,19216,25990,22799,15628,7092,3960,332,1,1,2,2,1,6
25,36574,82022,341663,328503,90537,139163,180957,156016,206801,220627,176257,94138,44402,3454,2,17,17,10,8,52
26,926,11964,2059442,1929962,440060,581683,1195077,1254749,1209873,1250428,1103358,573670,207148,7289,21,64,23,20,15,122
27,1358,2657,1647081,1520413,374446,502123,872769,987395,1014292,1006132,861870,455352,147103,5133,28,64,51,24,8,147
28,14850,7150,1404793,1353593,335213,447370,699281,775457,858683,981306,849393,360899,133361,8269,13,38,14,13,10,75
29,445,650,981885,962023,258401,341224,475938,527224,625066,667863,567406,252180,96709,5798,5,32,19,16,14,81
30,972,,9626,9376,667,1311,1522,1557,3012,5845,7826,6134,4500,599,3,1,0,1,1,3
