index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1,127056,420846,117096,104688,31302,49740,50082,57544,81979,71949,49681,28725,8460,194,8,4,0,0,0,4
2,37463,304851,70048,65575,13858,12670,48603,57318,36979,35474,31039,16472,6745,230,12,3,2,1,1,7
3,982,1524,117096,104688,31302,49740,50082,57544,81979,71949,49681,28725,8460,194,8,4,0,0,0,4
4,4690,58984,59838,54230,11798,20950,30727,30385,37554,47206,31005,12333,7183,381,8,3,1,1,2,7
5,1631,309691,92161,81855,16914,33080,47644,60134,67738,54077,34470,21674,5787,109,5,5,9,2,0,16
6,2377,551754,93907,88663,22483,49362,35168,38447,65939,62761,45603,24136,4966,119,10,4,1,1,0,6
7,3102,531698,146828,138338,30276,37994,74024,88748,86146,90616,89310,45185,12550,584,21,6,0,0,2,8
8,3854,945361,98998,94531,34390,42250,38130,51285,69800,59752,55185,24603,5888,373,11,2,1,1,0,4
9,4014,520758,187434,170648,37085,53279,96569,116137,107696,106403,96011,47082,14255,898,5,5,1,0,1,7
10,5438,704676,148910,139750,35582,50074,66892,77704,90894,96725,88177,48024,15566,626,14,6,1,2,1,10
11,2538,473286,146924,140238,32123,35989,76342,89970,86362,93068,84800,46655,16582,432,20,7,0,3,1,11
12,4223,933709,137210,123551,27436,55126,65714,60430,85139,90610,72701,37161,15281,661,41,4,3,2,1,10
13,2743,488008,155834,141934,29949,44616,70498,76117,84936,102170,93423,47745,20097,728,15,7,1,3,1,12
14,4352,313961,143941,134124,24629,30261,100733,86156,72282,85660,74067,41223,17745,514,42,8,3,3,1,15
15,1974,565412,150066,140409,27966,38324,98035,86528,80506,83897,74227,43283,16805,402,30,5,2,0,1,8
16,9716,808072,108188,95309,16539,23121,90110,71763,57109,54094,42677,24689,10548,170,30,2,6,1,0,9
17,1808,302929,146347,125277,32230,35968,96016,91344,79722,81755,63643,32806,14444,304,27,7,14,3,1,25
18,3910,859640,92784,83102,19239,25457,50013,48171,50485,56467,48300,27864,13503,343,10,3,3,1,1,8
19,8260,1584328,125552,118318,29778,39884,63344,75374,75264,84161,76295,35092,9679,415,16,2,1,0,0,3
20,6864,1133128,153127,142704,35952,60433,75770,90719,101969,95443,73509,34855,10083,407,10,6,0,2,0,8
21,6805,573597,92001,87114,19727,17956,59184,74206,50548,48557,42627,23739,9546,380,25,4,1,2,1,8
22,9410,593598,60683,54511,9496,12016,37850,41499,32296,35546,31656,17087,7448,204,7,6,22,6,1,35
23,6946,523756,66662,59452,11368,13399,42340,48625,36061,39160,34331,18378,7955,204,10,6,20,5,1,32
24,13282,1055513,33534,30938,4296,10779,24704,17775,17623,18945,16302,10045,4902,132,20,5,41,3,4,53
25,3543,732123,56548,49191,10717,16046,27257,29714,31479,34209,28419,16158,8039,279,14,7,38,4,3,52
26,3797,1201088,53093,46423,10503,16439,26027,28960,30976,33420,27822,15804,7823,279,18,7,43,4,3,57
27,2042,38260,153669,145914,39899,48251,70801,91052,98037,93245,90233,44081,11235,582,23,6,0,0,2,8
28,806,48508,132889,120230,28747,32678,66046,91488,74087,73723,71617,34153,8545,407,6,2,2,0,0,4
29,278,39505,124867,113391,27362,36498,65021,74505,73794,75237,71291,34717,8944,266,0,2,4,2,0,8
30,7301,8190,85035,71921,16460,19314,38175,43872,42409,46045,37669,20111,9440,276,41,9,34,6,3,52
31,595,156,73599,68598,14376,13814,42855,49885,41331,48125,45169,24856,10790,380,19,7,8,8,1,24
32,574,147179,91425,80512,16971,26007,46387,60424,61581,52083,37780,24675,7510,181,15,4,7,1,0,12
33,570,249157,115619,107029,27282,63974,48476,52693,87839,79306,53137,29451,6542,176,24,6,3,2,0,11
34,396,195947,130973,118273,27911,48291,66292,83518,93788,74854,50286,29250,7607,265,6,5,1,4,2,12
35,348,57856,70839,64720,15067,21092,34716,43839,46332,45782,35632,20841,7050,216,6,4,8,1,0,13
36,332,163428,73386,64594,13992,21803,37206,48417,50122,43121,30515,19156,5695,150,9,4,8,1,0,13
37,327,74848,124131,113675,24984,61371,51756,57773,89353,78126,50505,28838,6936,170,14,5,3,3,0,11
38,482,139422,113595,104655,26882,63487,51031,56324,91532,78316,50050,28476,6418,129,10,5,3,2,1,11
39,1057,198987,36073,32645,9189,14102,12465,16842,22733,19259,17877,9163,3294,447,3,2,1,0,0,3
40,436,176894,85101,78783,17622,33186,35799,44005,52889,50830,45647,23764,5187,241,20,3,2,0,0,5
41,2930,592515,117397,107333,26582,50121,55502,68366,85647,71499,49450,27240,6754,230,17,6,1,3,2,12
42,733,103409,99393,93774,20842,45831,42240,48423,66522,63018,50330,25892,5627,250,32,6,2,1,0,9
43,368,134086,134055,121205,27745,46336,65868,83829,92518,72687,48412,28050,7058,262,29,5,1,4,2,12
44,373,130686,37019,33150,10961,15577,16510,23363,27551,23842,22898,12354,4437,503,6,2,1,0,0,3
45,1248,345102,105603,100739,43807,43019,42425,66088,81189,57278,49909,21839,5954,559,29,3,0,1,0,4
46,997,85205,97195,91571,18853,26302,50948,57186,56486,60421,59887,29828,7835,325,11,5,0,0,1,6
47,1415,352755,142429,133643,26239,34943,74939,86393,80876,87776,87554,44762,12708,520,26,6,0,2,1,9
48,1759,575973,124525,117727,29310,36946,60098,74767,78369,76761,74885,37591,10252,398,4,5,1,0,2,8
49,929,258290,168851,158281,35834,42705,84577,103601,99327,104521,103107,52611,15089,619,15,7,0,1,2,10
50,1767,312504,148722,138730,28423,34335,75280,90863,84201,90757,89088,46740,13963,712,14,5,1,1,2,9
51,5574,105177,156495,145782,29521,41677,76843,76457,90099,102260,94932,56757,21854,527,27,6,2,1,0,9
52,751,43872,161812,149949,28353,43889,79399,76784,93322,106971,97181,59697,23196,474,28,8,2,1,0,11
53,944,45769,133691,122801,27014,41794,65835,62500,78880,84565,73295,43622,17372,402,21,9,2,0,0,11
54,511,19917,183295,167454,40341,57489,86422,87898,110696,117241,101030,60256,23336,468,20,11,3,1,0,15
55,951,36186,136811,126900,20864,34562,69569,64651,75944,90327,84500,52042,20743,382,19,6,2,1,1,10
