index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1,37797,653842,808880,760355,201553,292810,430020,473417,519709,495823,386822,193322,60125,2335,1,28,19,13,3,63
2,52125,1806641,1825013,1660548,365327,489154,1069694,1033729,1031661,1099495,951968,539944,224230,6113,11,71,138,31,17,257
3,2247,174246,1927560,1753710,398605,531780,1133976,1116174,1110328,1150545,979672,553342,225733,5951,37,76,130,29,15,250
4,19865,193023,360457,357700,107673,140952,190774,193652,229336,235431,184540,77906,35800,2284,9,12,14,3,4,33
5,82464,54050,2054848,1872606,411001,555258,1211621,1194042,1183553,1244645,1067809,603765,241424,6212,44,82,135,36,16,269
6,3305,35085,1332806,1236839,296001,399976,699524,787375,802332,828847,710832,359723,134955,5400,19,40,18,10,6,74
7,13433,2625138,1952657,1776471,401157,536760,1146288,1130615,1120967,1158994,987269,557371,226297,5898,32,78,130,30,16,254
8,696,27956,1952260,1776320,380377,523305,1128291,1083704,1092589,1200604,1055371,587886,243479,6725,27,72,131,33,18,254
9,255,3677,1875496,1712891,366483,518034,1060829,1021323,1054673,1175483,1041223,577376,238183,6965,27,74,124,32,17,247
10,338,7405,1732981,1603169,343597,490009,963296,928252,979093,1097134,969746,524361,209830,6903,18,74,83,30,15,202
11,205,3242,2011084,1833174,390313,541345,1157798,1112612,1126930,1242090,1091902,606249,249007,7205,22,75,136,33,18,262
12,351,30550,1660319,1506506,339016,453957,976030,952128,946712,1003298,861522,486790,205474,5562,8,67,124,29,17,237
13,2112,,2123228,1968794,436231,579073,1255742,1315219,1242750,1262947,1088397,599130,220337,6447,9,70,93,30,15,208
14,121,,2023247,1842564,393833,543610,1166803,1126680,1137675,1246544,1094358,608421,248985,7227,19,76,135,32,18,261
15,4968,124000,1941464,1782778,402701,558081,1102741,1149712,1140977,1160315,991734,537816,187989,5997,17,77,115,35,13,240
16,1926,4134,1897335,1729150,384374,511928,1119028,1088439,1083579,1142493,982486,556191,228603,6024,34,78,138,32,17,265
17,2311,25000,1830679,1666116,369428,492353,1080737,1045744,1040161,1103823,953385,540895,223990,6046,12,71,138,31,17,257
18,565,3335,2105462,1933902,427254,577732,1289873,1289906,1223505,1237482,1040349,585898,226519,6080,22,67,132,34,16,249
19,1211,,1750972,1592077,355587,476387,1024662,999821,999309,1055872,908834,515223,215240,5858,26,72,130,30,18,250
20,3465,114878,2065350,1892906,431603,606342,1141224,1190372,1220119,1258590,1080243,584926,206743,6153,28,84,125,40,16,265
21,805872,120000,1593357,1486955,382464,505981,806186,936438,998130,979909,843311,431316,131989,4904,32,57,33,15,9,114
22,15016,268261,2110024,1932573,427952,601747,1303349,1256470,1227852,1239993,1034731,580290,219225,5887,14,84,142,37,15,278
23,360,11197,1403547,1305943,328541,456327,712309,828227,885765,868512,735762,377231,113496,4372,28,55,41,18,7,121
24,1740,8534,944573,851024,199869,276603,504537,506461,546074,583854,486649,268884,119478,3772,7,24,63,8,8,103
25,343,3168,1669112,1512140,336106,454615,953926,921817,941533,1021931,892324,501136,212006,5973,6,70,123,29,18,240
26,8917,71360,1359490,1258791,285005,408447,794736,824847,817911,801419,671046,374312,126233,3841,27,53,45,20,6,124
27,5976,25000,1773050,1611810,362810,486959,1034375,1016849,1013332,1063242,909462,513452,213090,5759,17,70,128,29,18,245
28,64058,692584,1840139,1675745,374701,500902,1087814,1059733,1052805,1106076,946671,537323,221693,5797,34,75,136,30,17,258
29,2133,15000,1850743,1683643,380120,508775,1083279,1064736,1059464,1105247,943707,532526,218446,5665,13,75,131,30,17,253
30,13217,73052,1606702,1507137,387275,505030,821432,955101,1005453,985370,853675,431661,131982,4981,11,55,27,15,6,103
31,1061,15521,1922892,1750825,384081,512658,1125480,1096116,1092856,1168604,1014009,573372,234345,6103,31,70,136,33,16,255
