index,시설명,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1,국립현대미술관(과천관),경기도 과천시 광명로 313,37797,653842,37.4310266,127.0205419,808880,760355,201553,292810,430020,473417,519709,495823,386822,193322,60125,2335,1,28,19,13,3,63
2,국립현대미술관(서울관),서울특별시 종로구 삼청로 30,52125,1806641,37.5795117,126.9805862,1825013,1660548,365327,489154,1069694,1033729,1031661,1099495,951968,539944,224230,6113,11,71,138,31,17,257
3,국립현대미술관(덕수궁관),서울특별시 중구 세종대로 99,2247,174246,37.565936,126.9750354,1927560,1753710,398605,531780,1133976,1116174,1110328,1150545,979672,553342,225733,5951,37,76,130,29,15,250
4,국립현대미술관 미술품수장센터(청주관),충청북도 청주시 청원구 상당로 314,19865,193023,36.655975,127.4902475,360457,357700,107673,140952,190774,193652,229336,235431,184540,77906,35800,2284,9,12,14,3,4,33
5,DDP디자인뮤지엄,서울특별시 중구 을지로 281,82464,54050,37.5660286,126.9954924,2054848,1872606,411001,555258,1211621,1194042,1183553,1244645,1067809,603765,241424,6212,44,82,135,36,16,269
6,겸재정선미술관,서울특별시 강서구 양천로47길 36,3305,35085,37.5722318,126.838712,1332806,1236839,296001,399976,699524,787375,802332,828847,710832,359723,134955,5400,19,40,18,10,6,74
7,서울시립미술관,서울특별시 중구 덕수궁길 61,13433,2625138,37.5643082,126.9744408,1952657,1776471,401157,536760,1146288,1130615,1120967,1158994,987269,557371,226297,5898,32,78,130,30,16,254
8,성북구립미술관,서울특별시 성북구 성북로 134,696,27956,37.5948062,126.9948842,1952260,1776320,380377,523305,1128291,1083704,1092589,1200604,1055371,587886,243479,6725,27,72,131,33,18,254
9,"성북구립 최만린미술관
(성북구립미술관 분관)",서울특별시 성북구 솔샘로7길 23,255,3677,37.6106735,127.0043219,1875496,1712891,366483,518034,1060829,1021323,1054673,1175483,1041223,577376,238183,6965,27,74,124,32,17,247
10,"성북어린이미술관 꿈자람
(성북구립미술관 분관)",서울특별시 성북구 화랑로18자길 13,338,7405,37.6050025,127.0507423,1732981,1603169,343597,490009,963296,928252,979093,1097134,969746,524361,209830,6903,18,74,83,30,15,202
11,"성북예술창작터
(성북구립미술관 분관)",서울특별시 성북구 성북로 23,205,3242,37.5900502,127.0041198,2011084,1833174,390313,541345,1157798,1112612,1126930,1242090,1091902,606249,249007,7205,22,75,136,33,18,262
12,종로구립 박노수미술관,서울특별시 종로구 옥인1길 34,351,30550,37.5813669,126.9667492,1660319,1506506,339016,453957,976030,952128,946712,1003298,861522,486790,205474,5562,8,67,124,29,17,237
13,63아트,서울특별시 영등포구 63로 50,2112,,37.5198332,126.9400724,2123228,1968794,436231,579073,1255742,1315219,1242750,1262947,1088397,599130,220337,6447,9,70,93,30,15,208
14,JCC아트센터,서울특별시종로구 창경궁로35길 29,121,,37.5871853,127.0019026,2023247,1842564,393833,543610,1166803,1126680,1137675,1246544,1094358,608421,248985,7227,19,76,135,32,18,261
15,K현대미술관,서울특별시 강남구 선릉로 807,4968,124000,37.5242966,127.0391135,1941464,1782778,402701,558081,1102741,1149712,1140977,1160315,991734,537816,187989,5997,17,77,115,35,13,240
16,OCI미술관,서울특별시 종로구 우정국로 45-14,1926,4134,37.5731912,126.9821081,1897335,1729150,384374,511928,1119028,1088439,1083579,1142493,982486,556191,228603,6024,34,78,138,32,17,265
17,금호미술관,서울특별시 종로구 삼청로 18,2311,25000,37.5774697,126.9799083,1830679,1666116,369428,492353,1080737,1045744,1040161,1103823,953385,540895,223990,6046,12,71,138,31,17,257
18,김세중미술관,서울특별시 용산구 효창원로70길35,565,3335,37.542037,126.9638759,2105462,1933902,427254,577732,1289873,1289906,1223505,1237482,1040349,585898,226519,6080,22,67,132,34,16,249
19,대림미술관,서울특별시 종로구 자하문로 4길 21,1211,,37.5774855,126.9732918,1750972,1592077,355587,476387,1024662,999821,999309,1055872,908834,515223,215240,5858,26,72,130,30,18,250
20,디뮤지엄(대림미술관 분관),서울특별시 성동구 왕십리로 83-21,3465,114878,37.5443796,127.0438576,2065350,1892906,431603,606342,1141224,1190372,1220119,1258590,1080243,584926,206743,6153,28,84,125,40,16,265
21,롯데뮤지엄,서울특별시 송파구 올림픽로 300 롯데월드타워 7층,805872,120000,37.5124641,127.102543,1593357,1486955,382464,505981,806186,936438,998130,979909,843311,431316,131989,4904,32,57,33,15,9,114
22,리움미술관,서울특별시 용산구 이태원로55길 60-16,15016,268261,37.538373,126.9992845,2110024,1932573,427952,601747,1303349,1256470,1227852,1239993,1034731,580290,219225,5887,14,84,142,37,15,278
23,밀알미술관,서울특별시 강남구 일원로 90,360,11197,37.4857714,127.0823193,1403547,1305943,328541,456327,712309,828227,885765,868512,735762,377231,113496,4372,28,55,41,18,7,121
24,사비나미술관,서울특별시 은평구 진관1로 93,1740,8534,37.6318069,126.9249528,944573,851024,199869,276603,504537,506461,546074,583854,486649,268884,119478,3772,7,24,63,8,8,103
25,상원미술관,서울특별시 종로구 평창31길 27,343,3168,37.6116119,126.976591,1669112,1512140,336106,454615,953926,921817,941533,1021931,892324,501136,212006,5973,6,70,123,29,18,240
26,서울서예박물관,서울특별시 서초구 남부순환로 2406,8917,71360,37.4810859,127.0152453,1359490,1258791,285005,408447,794736,824847,817911,801419,671046,374312,126233,3841,27,53,45,20,6,124
27,성곡미술관,서울특별시 종로구 경희궁길 42,5976,25000,37.5735475,126.9698356,1773050,1611810,362810,486959,1034375,1016849,1013332,1063242,909462,513452,213090,5759,17,70,128,29,18,245
28,세종문화회관 미술관,서울특별시 종로구 세종대로 175,64058,692584,37.5722356,126.9759338,1840139,1675745,374701,500902,1087814,1059733,1052805,1106076,946671,537323,221693,5797,34,75,136,30,17,258
29,세화미술관,서울특별시 종로구 새문안로 68,2133,15000,37.5697279,126.9722881,1850743,1683643,380120,508775,1083279,1064736,1059464,1105247,943707,532526,218446,5665,13,75,131,30,17,253
30,소마미술관,서울특별시 송파구 올림픽로 424,13217,73052,37.5210311,127.1161652,1606702,1507137,387275,505030,821432,955101,1005453,985370,853675,431661,131982,4981,11,55,27,15,6,103
31,아라리오뮤지엄 인 스페이스,서울특별시 종로구 율곡로 83,1061,15521,37.577738,126.9883615,1922892,1750825,384081,512658,1125480,1096116,1092856,1168604,1014009,573372,234345,6103,31,70,136,33,16,255
32,아르코미술관,서울특별시 종로구 동숭길 3 한국문화예술진흥원,2999,32957,37.5800891,127.0029816,2042991,1860921,398525,545170,1182751,1150550,1153280,1246105,1085100,605864,245933,6867,17,76,136,34,16,262
33,아모레퍼시픽미술관,서울특별시 용산구 한강대로 100,6962,100000,37.548994,126.9726676,2117976,1936917,430528,578376,1306012,1281608,1220896,1235313,1042711,589018,231082,6417,20,75,136,34,16,261
34,아트선재센터,서울특별시 종로구 율곡로3길 87,1472,50292,37.5794223,126.9818411,1838216,1673104,365962,489885,1076273,1039484,1037071,1106923,959239,544368,226127,6221,18,73,139,31,17,260
35,아트센터나비미술관,서울특별시 종로구 종로26 SK서린빌딩 4층,1059,41715,37.5696154,126.9803675,1916306,1746263,390277,519840,1132235,1105753,1095728,1151838,986561,558935,229040,6044,56,76,137,32,16,261
36,유리지공예관,서울특별시 서초구 중앙로 555,618,1870,37.4577303,127.0123046,1074630,1003571,232715,349386,626908,643628,667404,650303,531252,292757,96428,3246,7,39,33,16,4,92
37,일민미술관,서울특별시 종로구 세종대로 152,2364,27481,37.5697944,126.9776649,1888386,1718838,384700,515094,1116667,1088685,1080865,1132228,968536,549315,225685,6042,41,75,136,30,16,257
38,자하미술관,서울특별시 종로구 창의문로5가길 46,,10500,37.5893848,126.9603333,1547368,1399782,320561,418502,899167,889085,880021,928196,796475,448896,192249,5405,0,62,125,28,16,231
39,(재)한원미술관,서울특별시 서초구 남부순환로 2423 한원빌딩 B1,480,4450,37.481835,127.015788,1365848,1264449,284050,407993,800758,829697,819072,804947,674180,376330,127242,3846,33,53,45,21,7,126
40,코리아나미술관,서울특별시 강남구 언주로 827,1195,3069,37.524005,127.0326264,1923195,1760245,397703,555147,1122129,1140121,1127710,1142359,969965,529146,187298,5561,8,74,124,36,15,249
41,토탈미술관,서울특별시 종로구 평창 32길 8,661,,37.612099,126.9757337,1660926,1504113,335347,452620,947840,916495,937249,1015671,886451,498142,210708,5914,6,70,122,29,18,239
42,포스코미술관,서울특별시 강남구 테헤란로 440 지하1층,691,12000,37.50579,127.0561533,1658339,1530261,366958,493507,886735,996227,1006421,1000766,859413,457295,148652,5194,14,61,53,25,8,147
43,한가람디자인미술관,서울특별시 서초구 남부순환로 2406,11853,141814,37.4810859,127.0152453,1359490,1258791,285005,408447,794736,824847,817911,801419,671046,374312,126233,3841,27,53,45,20,6,124
44,한가람미술관,서울특별시 서초구 남부순환로 2406,15743,477456,37.4810859,127.0152453,1359490,1258791,285005,408447,794736,824847,817911,801419,671046,374312,126233,3841,27,53,45,20,6,124
45,뮤지엄 한미,서울특별시 송파구 위례성대로 14,735,,37.5165622,127.1139344,1596028,1497140,381752,501146,806380,940330,993202,974396,842334,427073,129661,4917,21,53,29,15,6,103
46,헬로우뮤지움,서울특별시 성동구 성수일로 12길 20,493,3736,37.548179,127.0532478,2073887,1911565,435167,614383,1135009,1190531,1231697,1271004,1094250,588307,205871,6462,15,87,108,37,15,247
47,환기미술관,서울특별시 종로구 자하문로 40길 63,1840,84871,37.5943015,126.9662652,1558604,1410431,316797,418497,902193,879253,879893,941841,814304,461340,197457,5526,12,62,124,29,17,232
48,서울과학기술대학교 미술관,서울특별시 노원구 공릉로232 다빈치관 224호,140,3000,37.6329741,127.0798802,1480310,1376401,311516,435942,801679,775509,853554,943495,834082,450002,177475,5800,9,58,24,16,11,109
49,서울대학교미술관,서울특별시 관악구 관악로1,1363,23617,37.480967,126.953148,1666569,1563396,354276,474593,999530,1041015,992781,1007372,854913,462001,165674,5103,33,55,42,23,10,130
50,숙명여자대학교문신미술관,서울특별시 용산구 청파로 47길 100,888,3240,37.5461385,126.9649336,2120728,1942639,434388,584315,1292134,1291627,1232002,1247482,1049386,590282,229099,6197,11,68,131,31,16,246
51,인덕대학교 아정미술관,서울특별시 노원구 초안산로 12 은봉관 1F,882,3000,37.6310852,127.0550567,1494281,1388574,302392,432034,825081,785612,851462,956466,849736,461543,183980,6015,25,62,41,19,12,134
52,부산광역시립미술관,부산광역시 해운대구 APEC로 58,22826,576437,35.1660574,129.1369053,842534,769701,182095,247587,381718,381389,480965,525442,531666,305395,118983,6155,34,22,18,8,10,58
53,부산현대미술관,부산광역시 사하구 낙동남로 1191,15312,256375,35.109512,128.9431045,397721,384633,96086,118704,183417,190791,229218,253071,267921,138956,51312,3277,7,6,6,1,7,20
54,디오티미술관,부산광역시 금정구 금샘로 35,305,5819,35.2288858,129.0767688,802425,740273,170838,232261,367377,363815,445442,513043,528403,288341,109170,6296,13,23,18,9,14,64
55,고은사진미술관,부산광역시 해운대구 해운대로 452번길 16,1728,15530,35.1631592,129.1410594,817157,745676,176278,235713,360570,370168,464175,506612,511563,294031,113752,5753,13,22,15,8,10,55
56,킴스아트필드미술관,부산광역시 금정구 죽전1길 29(금성동),1019,656,35.2523406,129.0540781,593856,555380,142941,185787,259961,270669,342121,382777,380616,199057,74098,4694,16,12,14,7,8,41
57,한광미술관,부산광역시 중구 중앙대로 130,609,,35.1089611,129.0374266,778992,728992,145461,212454,384520,347500,417343,491874,528394,304174,119229,6341,28,15,23,7,21,66
58,KT&G 상상마당 부산미술관,부산광역시 부산진구 서면로39 4층,858,84452,35.1542604,129.0572997,1161431,1075538,233075,322441,528054,517742,636485,729590,775304,440227,168241,9028,36,28,30,12,28,98
59,경성대학교미술관,부산광역시 남구 수영로 309 26호관 B108호,2239,5200,35.1373574,129.0880956,1001924,920602,205971,287573,457352,445917,558311,623687,649411,376543,146202,7129,41,26,27,10,24,87
60,동아대학교 석당미술관,부산광역시 서구 구덕로 225,1089,5014,35.1043534,129.0193366,704225,664807,137121,199833,350223,315977,384993,452270,485900,276273,107031,5475,26,14,23,6,20,63
61,대구문화예술회관 미술관,대구광역시 공원순환로 201,13636,124995,35.8447081,128.5592428,867140,820214,198602,292045,413888,386065,508094,597419,516915,269401,111162,5011,3,31,14,13,13,71
62,대구미술관,대구광역시 수성구 미술관로 40,16970,220088,35.8271884,128.6746853,531411,498748,121676,184872,242635,229511,312919,353071,304616,170490,76787,4029,2,15,8,3,7,33
63,경북대학교미술관,대구광역시 북구 대학로 80,803,41458,35.8907065,128.6100194,784749,741391,166689,253005,377131,342892,452274,545248,477479,260164,110963,5226,4,32,15,12,12,71
64,계명대학교 극재미술관,대구광역시 남구 명덕로 104 동산관,2373,10779,35.8535979,128.5797492,880587,832625,192316,291228,418543,383684,507693,607424,531391,279942,116344,5197,8,33,14,15,13,75
