city,small,name,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
강릉시,,강릉문화의집,강원도 강릉시 율곡로 2923-12 행복한모루1층,327,16678,37.76383716,128.8912265,13096.0,12469.0,2987.0,5157.0,5746.0,4966.0,8109.0,9451.0,7558.0,4159.0,2159.0,122.0,9.0,1.0,1.0,0.0,1.0,3.0
강릉시,,주문진문화의집,강원도 강릉시 주문진읍 신리대동길25,692.5,50,37.88162247,128.8220528,4061.0,3806.0,1224.0,1583.0,1748.0,1917.0,2623.0,3133.0,3073.0,1686.0,916.0,183.0,10.0,1.0,0.0,0.0,1.0,2.0
강원,강릉시,강릉문화원,강원특별자치도 강릉시 하슬라로 96,"2,157","300,000",37.7587611,128.8738049,11644.0,11057.0,2005.0,4759.0,9232.0,4317.0,6374.0,6633.0,6558.0,4023.0,2338.0,299.0,9.0,0.0,0.0,0.0,1.0,1.0
강원,고성군,고성문화원,강원특별자치도 고성군 간성읍 간성로 71-7,672,"9,500",38.3788017,128.4669411,1364.0,1554.0,368.0,210.0,402.0,561.0,400.0,749.0,1333.0,703.0,353.0,45.0,9.0,1.0,0.0,1.0,2.0,4.0
강원,동해시,동해문화원,강원특별자치도 동해시 평원로 17,"1,666","45,000",37.5268717,129.1144864,8644.0,8420.0,2094.0,2645.0,2916.0,3203.0,4805.0,5381.0,5420.0,2464.0,1155.0,79.0,5.0,0.0,0.0,1.0,2.0,3.0
강원,삼척시,삼척문화원,강원특별자치도 삼척시 오십천로 408(읍중동),980,"114,000",37.4413892,129.163157,4340.0,4202.0,265.0,565.0,1058.0,942.0,1823.0,2855.0,3901.0,2625.0,1754.0,259.0,12.0,1.0,1.0,1.0,1.0,4.0
강원,속초시,속초문화원,강원특별자치도 속초시 번영로 155(영랑동),185,"34,000",38.2153465,128.5932895,3451.0,3501.0,377.0,633.0,848.0,977.0,1681.0,2686.0,3633.0,2330.0,1183.0,49.0,13.0,1.0,0.0,1.0,1.0,3.0
강원,양구군,양구문화원,강원특별자치도 양구군 양구읍 비봉로 73번길 52 문화복지센터 2층,103,"18,500",38.1088894,127.9842263,2198.0,2179.0,642.0,507.0,797.0,848.0,897.0,1356.0,1467.0,688.0,472.0,42.0,5.0,1.0,0.0,2.0,1.0,4.0
강원,양양군,양양문화원,강원특별자치도 양양군 양양읍 양양로 114-5,"1,454","17,297",38.0741432,128.6164642,4106.0,4210.0,745.0,884.0,1262.0,1477.0,2181.0,2921.0,3340.0,1937.0,1125.0,57.0,7.0,1.0,0.0,0.0,1.0,2.0
강원,영월군,영월문화원,강원특별자치도 영월군 영월읍 단종로 12,273,"19,350",37.1847102,128.4684933,3509.0,3641.0,280.0,620.0,697.0,807.0,1252.0,2871.0,4698.0,2596.0,1538.0,81.0,14.0,0.0,2.0,1.0,1.0,4.0
강원,원주시,원주문화원,강원특별자치도 원주시 무실로 235,"4,296","128,869",37.3389158,127.9376984,16303.0,15181.0,2886.0,5502.0,7492.0,6434.0,9092.0,11923.0,11195.0,4665.0,2774.0,199.0,12.0,0.0,0.0,1.0,1.0,2.0
강원,인제군,인제문화원,강원특별자치도 인제군 인제읍 비봉로 29번길 17,"2,943","17,500",38.0678956,128.1752388,2320.0,2444.0,300.0,310.0,941.0,612.0,711.0,1641.0,2064.0,1228.0,863.0,51.0,9.0,1.0,2.0,0.0,1.0,4.0
강원,정선군,정선문화원,강원특별자치도 정선군 정선읍 봉양5길 43,650,"9,000",37.3808599,128.6618681,2401.0,2357.0,504.0,692.0,768.0,883.0,1464.0,1870.0,2123.0,1367.0,755.0,48.0,8.0,1.0,0.0,0.0,1.0,2.0
강원,철원군,철원문화원,강원특별자치도 철원군 갈말읍 삼부연로 42,783,"18,000",38.1452549,127.3128102,2664.0,2757.0,767.0,750.0,896.0,1241.0,1278.0,1903.0,2053.0,827.0,554.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0
